time,x,y,z
0,0,0,0
0.001,0.00628314396556,0.0998314460207,0.0125660398834
0.002,0.0125660398834,0.1986536447,0.0251300954433
0.003,0.0188484397154,0.2954677082,0.0376901826699
0.004,0.0251300954433,0.389295359823,0.0502443181798
0.005,0.0314107590781,0.479188971042,0.0627905195293
0.006,0.0376901826699,0.564241279469,0.0753268055279
0.007,0.0439681183179,0.643594686653,0.0878511965507
0.008,0.0502443181798,0.716450039028,0.100361714851
0.009,0.056518534482,0.782074800814,0.112856384873
0.01,0.0627905195293,0.839810534035,0.125333233564
0.011,0.0690600257144,0.889079608158,0.137790290685
0.012,0.0753268055279,0.929391069963,0.150225589121
0.013,0.0815906115682,0.960345613084,0.162637165195
0.014,0.0878511965507,0.981639596163,0.175023058975
0.015,0.0941083133185,0.993068068545,0.187381314586
0.016,0.100361714851,0.994526772894,0.199709980514
0.017,0.106611154275,0.986013104842,0.212007109922
0.018,0.112856384873,0.967626020764,0.224270760949
0.019,0.119097160095,0.939564895768,0.236498997024
0.02,0.125333233564,0.902127345021,0.248689887165
0.021,0.131564359092,0.85570603237,0.26084150629
0.022,0.137790290685,0.800784500798,0.272951935517
0.023,0.144010782552,0.737932069488,0.28501926247
0.024,0.150225589121,0.667797851958,0.297041581577
0.025,0.15643446504,0.591103958902,0.309016994375
0.026,0.162637165195,0.508637957796,0.320943609807
0.027,0.168833444713,0.421244669028,0.332819544523
0.028,0.175023058975,0.329817385133,0.344642923175
0.029,0.181205763627,0.235288605614,0.356411878713
0.03,0.187381314586,0.13862038474,0.368124552685
0.031,0.193549468051,0.0407943936223,0.379779095522
0.032,0.199709980514,-0.0571981993661,0.391373666837
0.033,0.20586260877,-0.154366924028,0.402906435714
0.034,0.212007109922,-0.249732173272,0.414375580993
0.035,0.218143241397,-0.342335231709,0.425779291565
0.036,0.224270760949,-0.431248063748,0.437115766651
0.037,0.230389426677,-0.515582759783,0.44838321609
0.038,0.236498997024,-0.594500542874,0.459579860621
0.039,0.242599230795,-0.66722024319,0.470703932165
0.04,0.248689887165,-0.733026153255,0.481753674102
0.041,0.254770725683,-0.791275183801,0.492727341548
0.042,0.26084150629,-0.84140324754,0.503623201636
0.043,0.26690198932,-0.882930806488,0.514439533782
0.044,0.272951935517,-0.91546752742,0.525174629961
0.045,0.278991106039,-0.938715999553,0.535826794979
0.046,0.28501926247,-0.952474478533,0.546394346734
0.047,0.291036166828,-0.956638631146,0.556875616488
0.048,0.297041581577,-0.951202265709,0.567268949127
0.049,0.303035269633,-0.936257043851,0.577572703422
0.05,0.309016994375,-0.911991180052,0.587785252292
0.051,0.314986519655,-0.878687145973,0.597904983058
0.052,0.320943609807,-0.836718406972,0.607930297695
0.053,0.326888029655,-0.78654522832,0.61785961309
0.054,0.332819544523,-0.728709598239,0.627691361291
0.055,0.338737920245,-0.663829324051,0.637423989749
0.056,0.344642923175,-0.592591366178,0.647055961569
0.057,0.350534320191,-0.515744482554,0.656585755753
0.058,0.356411878713,-0.434091262955,0.666011867434
0.059,0.362275366705,-0.34847963891,0.675332808121
0.06,0.368124552685,-0.259793960018,0.684547105929
0.061,0.373959205738,-0.168945731706,0.693653305813
0.062,0.379779095522,-0.076864112676,0.702649969799
0.063,0.385583992277,0.0155137276278,0.711535677209
0.064,0.391373666837,0.107252290089,0.720309024888
0.065,0.397147890635,0.197427364145,0.728968627421
0.066,0.402906435714,0.285135482862,0.737513117358
0.067,0.408649074736,0.369503116708,0.745941145424
0.068,0.414375580993,0.449695511066,0.754251380736
0.069,0.420085728412,0.524925076718,0.762442511011
0.07,0.425779291565,0.594459247628,0.770513242776
0.071,0.431456045681,0.657627726426,0.778462301567
0.072,0.437115766651,0.713829044745,0.786288432137
0.073,0.442758231039,0.762536373241,0.793990398648
0.074,0.44838321609,0.803302524257,0.801566984871
0.075,0.45399049974,0.835764098995,0.809016994375
0.076,0.459579860621,0.859644740255,0.816339250717
0.077,0.465151078077,0.874757461492,0.823532597628
0.078,0.470703932165,0.881006032839,0.830595899196
0.079,0.476238203668,0.878385414803,0.837528040042
0.08,0.481753674102,0.866981240473,0.844327925502
0.081,0.487250125725,0.846968357114,0.850994481795
0.082,0.492727341548,0.818608447944,0.857526656194
0.083,0.498185105339,0.782246764466,0.863923417193
0.084,0.503623201636,0.738308009005,0.87018375467
0.085,0.50904141575,0.687291415856,0.876306680044
0.086,0.514439533782,0.629765087658,0.882291226435
0.087,0.519817342621,0.56635965117,0.888136448814
0.088,0.525174629961,0.497761303458,0.893841424151
